Time,ax,ay,az,lax,lay,laz,gx,gy,gz
16007875.0,-0.960938,1.808594,9.097656,1.039062,-1.589844,0.132812,0.822266,0.25,0.220703
16007917.0,-2.949219,5.867188,8.054688,-0.855469,1.875,-0.621094,1.634766,0.335938,0.433594
16007933.0,-1.496094,5.597656,8.019531,-0.359375,2.085938,-0.253906,0.960938,0.132812,0.308594
16007956.0,-2.453125,5.292969,8.136719,-0.359375,0.925781,-0.363281,0.820312,0.052734,0.144531
16007973.0,-2.414062,5.675781,8.132812,-0.398438,1.621094,-0.195312,-0.179688,-0.083984,-0.007812
16007996.0,-2.796875,4.257812,8.710938,-0.734375,-0.078125,0.1875,-0.375,-0.113281,-0.019531
16008013.0,-2.300781,4.296875,9.09375,-0.789062,-0.039062,0.164062,-0.296875,-0.208984,0.056641
16008033.0,-1.726562,3.339844,9.054688,0.089844,-0.496094,0.636719,0.228516,-0.082031,0.066406
16008053.0,-1.152344,2.417969,9.242188,0.273438,-0.925781,0.484375,1.382812,-0.017578,0.109375
